Category,Date,Total Export Value,China Export Value,Total Import Value,China Import Value,Exports of goods and services: Percentage changes ;.1,Imports of goods and services: Percentage changes ;.1,GROSS DOMESTIC PRODUCT: Percentage changes ;.1,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Australia ;
845 Other textile clothing,2020-06,8034.024999999998,57.924,332619.37100000004,257550.43,-7.6,-12.3,-7,-0.3
846 Textile clothing accessories,2020-06,1817.967,30.76,39665.878,24627.46,-7.6,-12.3,-7,-0.3
"848 Clothing accessories, nes",2020-06,7213.261000000002,1004.18,134794.99599999998,75989.05,-7.6,-12.3,-7,-0.3
851 Footwear,2020-06,13219.797,697.969,145914.485,62737.62,-7.6,-12.3,-7,-0.3
871 Optical instruments,2020-06,3816.7040000000006,51.366,30263.863,5004.28,-7.6,-12.3,-7,-0.3
872 Medical instruments (incl veterinary),2020-06,136920.432,5135.5,335912.96299999993,44088.07,-7.6,-12.3,-7,-0.3
873 Meters & counters,2020-06,669.668,2.85,17439.847999999998,5502.99,-7.6,-12.3,-7,-0.3
874 Measuring & analysing instruments,2020-06,158272.03,8491.79,326261.12899999996,42780.78,-7.6,-12.3,-7,-0.3
881 Photographic equipment,2020-06,2240.3589999999995,14.488,8013.355,2348.43,-7.6,-12.3,-7,-0.3
882 Photo & cinematographic supplies,2020-06,1199.788,19.185,5864.572000000001,753.046,-7.6,-12.3,-7,-0.3
"883 Cinematographic film, developed",2020-06,,,1.839,,-7.6,-12.3,-7,-0.3
"884 Optical goods, nes",2020-06,17979.804,164.081,89142.49500000004,43677.47,-7.6,-12.3,-7,-0.3
885 Watches & clocks,2020-06,9070.661,21.83,50212.158,7661.84,-7.6,-12.3,-7,-0.3
891 Arms & ammunition,2020-06,8606.824,767.606,27293.925,404.82,-7.6,-12.3,-7,-0.3
892 Printed matter,2020-06,15950.863000000003,243.965,73444.61,30266.09,-7.6,-12.3,-7,-0.3
"893 Plastic articles, nes",2020-06,28764.294000000005,4403.34,403551.288,258330.75,-7.6,-12.3,-7,-0.3
"894 Prams, toys, games & sporting goods",2020-06,24783.245000000014,284.504,299335.52599999995,227914.23,-7.6,-12.3,-7,-0.3
"895 Office & stationery supplies, nes",2020-06,1136.2620000000004,17.632,17380.755999999998,9413.07,-7.6,-12.3,-7,-0.3
896 Artwork & antiques,2020-06,5039.532,32.605,15547.058000000003,2311.81,-7.6,-12.3,-7,-0.3
897 Jewellery,2020-06,33784.524000000005,284.818,92703.857,9143.68,-7.6,-12.3,-7,-0.3
898 Musical instruments & parts,2020-06,14569.863999999994,1096.24,82975.655,18685.02,-7.6,-12.3,-7,-0.3
"899 Misc manufactured articles, nes",2020-06,27391.1,356.796,226953.75199999998,51550.21,-7.6,-12.3,-7,-0.3
931 Special transactions & commodities,2020-06,77357.41499999994,2419.98,147.605,,-7.6,-12.3,-7,-0.3
951 Gold coin & legal tender coin,2020-06,76862.644,35.097,6354.845,10.979,-7.6,-12.3,-7,-0.3
961 Coin (excl gold coin) not legal tender,2020-06,26.45,,910.856,115.591,-7.6,-12.3,-7,-0.3
971 Gold,2020-06,2283965.5139999995,,805513.0809999998,65.774,-7.6,-12.3,-7,-0.3
988 Confidential items of trade,2020-06,479674.9680000003,1544777.71,133537.58699999997,72594.43,-7.6,-12.3,-7,-0.3
Grand Total,2020-06,31031196.240000002,13794593.948000003,23246147.694000013,7471422.534000001,-7.6,-12.3,-7,-0.3
001 Live animals (excl seafood),2020-09,143081.83,27259.88,8156.638,,-4,5.9,3.4,0.7
"011 Beef, f.c.f.",2020-09,604758.6410000001,96130.65,3083.848,,-4,5.9,3.4,0.7
"012 Meat (excl beef), f.c.f.",2020-09,358372.03399999987,75538.57,51428.725,,-4,5.9,3.4,0.7
"016 Meat, salted or dried",2020-09,76.13399999999999,,2031.6709999999998,,-4,5.9,3.4,0.7
"017 Meat, prepared or preserved",2020-09,9819.029999999999,,10537.666000000001,231.912,-4,5.9,3.4,0.7
"022 Milk, cream, whey & yoghurt",2020-09,119952.746,60972.62,38146.156,557.392,-4,5.9,3.4,0.7
023 Butter,2020-09,10464.764,1954.51,18666.034000000003,,-4,5.9,3.4,0.7
024 Cheese & curd,2020-09,67638.684,7127.12,51295.69699999999,,-4,5.9,3.4,0.7
025 Birds' eggs,2020-09,397.111,,659.7120000000001,291.869,-4,5.9,3.4,0.7
"034 Fish, f.c.f.",2020-09,46838.673,18850.06,33975.661,3116.22,-4,5.9,3.4,0.7
"035 Fish, salted or dried",2020-09,809.952,,5673.161,173.644,-4,5.9,3.4,0.7
"036 Crustaceans, f.c.f.",2020-09,77768.797,63566.17,30549.104,8860.73,-4,5.9,3.4,0.7
"037 Seafood, prepared or preserved",2020-09,1772.2309999999998,308.46,68063.062,9098.08,-4,5.9,3.4,0.7
041 Wheat,2020-09,168169.703,535.155,20172.395,,-4,5.9,3.4,0.7
042 Rice,2020-09,4030.1580000000004,,27080.472999999994,225.445,-4,5.9,3.4,0.7
043 Barley,2020-09,57030.00600000001,11086.87,11.062999999999999,4.567,-4,5.9,3.4,0.7
044 Maize,2020-09,2368.1539999999995,,1015.444,,-4,5.9,3.4,0.7
045 Other cereals,2020-09,27939.040999999997,14387.46,1008.2080000000001,113.78,-4,5.9,3.4,0.7
046 Wheat flour,2020-09,1933.2060000000004,105.388,2938.7490000000003,20.092,-4,5.9,3.4,0.7
047 Other cereal flours,2020-09,1159.0570000000002,53.05,2038.9590000000005,46.081,-4,5.9,3.4,0.7
048 Cereal preparations,2020-09,80895.66899999998,12069.93,123121.49700000002,6309.82,-4,5.9,3.4,0.7
"054 Vegetables, f.c.f.",2020-09,79189.86700000001,1409.6,21047.102,4315.4,-4,5.9,3.4,0.7
"056 Vegetables, prepared or preserved",2020-09,9824.024,200.45,56863.174999999996,8130.94,-4,5.9,3.4,0.7
057 Fruit & nuts,2020-09,222829.617,72258.23,95413.40200000003,3308.94,-4,5.9,3.4,0.7
"058 Fruit, prepared or preserved",2020-09,4979.793,147.97,57139.36200000001,6771.22,-4,5.9,3.4,0.7
059 Fruit juices,2020-09,3959.568,675.157,12698.874,2333.14,-4,5.9,3.4,0.7
"061 Sugars, molasses & honey",2020-09,18324.432999999997,1900.62,18207.147,2483.43,-4,5.9,3.4,0.7
062 Sugar confectionery,2020-09,6722.275999999999,598.542,23357.549,8210.3,-4,5.9,3.4,0.7
071 Coffee & substitutes,2020-09,4286.8809999999985,70.464,82464.55500000001,240.386,-4,5.9,3.4,0.7
072 Cocoa,2020-09,215.43900000000002,,22932.247000000007,,-4,5.9,3.4,0.7
073 Chocolate & preparations of cocoa,2020-09,30508.665000000008,1213.93,55312.04600000001,2286.89,-4,5.9,3.4,0.7
074 Tea & mate,2020-09,949.8420000000001,28.2,11616.021999999999,676.704,-4,5.9,3.4,0.7
075 Spices,2020-09,2617.452,48.577,9674.086,944.39,-4,5.9,3.4,0.7
081 Animal feed,2020-09,82839.73300000001,13034.72,78874.292,2415.57,-4,5.9,3.4,0.7
091 Margarine,2020-09,9469.099999999999,265.47,5179.283000000001,10.059,-4,5.9,3.4,0.7
"098 Edible products & preparations, nes",2020-09,196698.515,114420.7,296272.582,18108.51,-4,5.9,3.4,0.7
"111 Non-alcoholic beverages, nes",2020-09,9830.396000000002,1183.63,34032.746999999996,488.581,-4,5.9,3.4,0.7
112 Alcoholic beverages,2020-09,345789.60799999995,163316.5,218130.75899999996,3475.95,-4,5.9,3.4,0.7
"121 Tobacco, unmanufactured",2020-09,,,,,-4,5.9,3.4,0.7
"122 Tobacco, manufactured",2020-09,1020.619,11.542,12038.078000000001,56.124,-4,5.9,3.4,0.7
"211 Hides & skins, raw (excl furskins)",2020-09,24699.916,22287.22,374.848,42.028,-4,5.9,3.4,0.7
"212 Furskins, raw",2020-09,2.082,,11.007,,-4,5.9,3.4,0.7
"222 Oil-seeds & oleaginous fruits, soft",2020-09,9814.244,42.741,8674.219000000001,452.856,-4,5.9,3.4,0.7
"223 Oil-seeds & oleaginous fruits, hard",2020-09,244.68099999999998,,2052.325,982.696,-4,5.9,3.4,0.7
231 Natural rubber,2020-09,205.957,143.414,1011.79,7.567,-4,5.9,3.4,0.7
232 Synthetic rubber,2020-09,510.26800000000003,42.044,6870.746,577.588,-4,5.9,3.4,0.7
244 Cork,2020-09,1.726,,17.146,,-4,5.9,3.4,0.7
245 Fuel wood,2020-09,1153.525,914.265,1870.7029999999997,26.113,-4,5.9,3.4,0.7
246 Wood in chips or particles,2020-09,77253.162,41484.18,757.0489999999999,88.918,-4,5.9,3.4,0.7
"247 Wood, rough",2020-09,53069.328,49053.53,1038.29,,-4,5.9,3.4,0.7
"248 Wood, simply worked",2020-09,6788.969,1956.34,64497.042000000016,8613.95,-4,5.9,3.4,0.7
251 Pulp & waste paper,2020-09,15267.305,6789.07,17934.606999999996,600.713,-4,5.9,3.4,0.7
261 Silk,2020-09,,,,,-4,5.9,3.4,0.7
263 Cotton,2020-09,34366.296,21372.04,9.851,1.141,-4,5.9,3.4,0.7
264 Jute,2020-09,1.834,,1.49,,-4,5.9,3.4,0.7
265 Other vegetable textile fibres,2020-09,3.054,,386.277,54.847,-4,5.9,3.4,0.7
266 Synthetic fibres,2020-09,34.608999999999995,,4737.328,384.798,-4,5.9,3.4,0.7
267 Other man-made fibres,2020-09,8.777,,178.079,10.181,-4,5.9,3.4,0.7
268 Wool & other animal hair (incl tops),2020-09,119749.50200000001,105365.11,1502.26,510.4,-4,5.9,3.4,0.7
269 Worn clothing & rags,2020-09,4571.770999999999,,1652.2540000000001,109.12,-4,5.9,3.4,0.7
272 Crude fertilisers,2020-09,247.006,,873.815,137.422,-4,5.9,3.4,0.7
"273 Stone, sand & gravel",2020-09,3375.7000000000003,102.587,2827.921,456.792,-4,5.9,3.4,0.7
274 Sulphur & iron pyrites,2020-09,56,,9098.464,7.791,-4,5.9,3.4,0.7
277 Natural abrasives,2020-09,4109.788,,535.032,245.039,-4,5.9,3.4,0.7
"278 Crude minerals, nes",2020-09,64772.96299999999,39758.1,7137.190999999998,2343.45,-4,5.9,3.4,0.7
280 Confidential mineral ores,2020-09,334967.36,,,,-4,5.9,3.4,0.7
281 Iron ores & concentrates,2020-09,10534975.72,8274255.39,,,-4,5.9,3.4,0.7
282 Ferrous waste & scrap,2020-09,65041.577999999994,,15.966000000000001,,-4,5.9,3.4,0.7
283 Copper ores & concentrates,2020-09,526593.787,191454.26,1767.9370000000001,,-4,5.9,3.4,0.7
284 Nickel ores & concentrates,2020-09,21455.33,21455.33,,,-4,5.9,3.4,0.7
285 Aluminium ores & conc (incl alumina),2020-09,653732.66,131566.97,792.357,355.627,-4,5.9,3.4,0.7
287 Other ores & concentrates,2020-09,205959.63999999996,96503.17,143307.153,302.978,-4,5.9,3.4,0.7
288 Non-ferrous waste & scrap,2020-09,88251.312,12703.54,1530.063,59.701,-4,5.9,3.4,0.7
289 Precious metal ores & conc (excl gold),2020-09,154212.33399999997,20179.8,326.374,,-4,5.9,3.4,0.7
"291 Crude animal matter, nes",2020-09,23964.177000000003,7409.7,9059.044999999998,506.345,-4,5.9,3.4,0.7
"292 Crude vegetable matter, nes",2020-09,25041.000000000004,596.381,45697.25599999999,9101.03,-4,5.9,3.4,0.7
321 Coal,2020-09,2967672.0560000003,316726.68,4453.212,74.68,-4,5.9,3.4,0.7
"322 Briquettes, lignite & peat",2020-09,5.836,,1717.3519999999999,,-4,5.9,3.4,0.7
325 Coke & semi-coke,2020-09,1.165,,6992.818,5501.07,-4,5.9,3.4,0.7
333 Crude petroleum,2020-09,563970.12,,335544.35,,-4,5.9,3.4,0.7
334 Refined petroleum,2020-09,161917.80999999997,17668.14,1177321.0359999998,259634.94,-4,5.9,3.4,0.7
"335 Residual petroleum products, nes",2020-09,2455.356,0.3,62301.563999999984,19113.66,-4,5.9,3.4,0.7
342 Liquefied propane & butane,2020-09,137753.552,,1564.4879999999998,99.341,-4,5.9,3.4,0.7
343 Natural gas,2020-09,1763863.46,,2.08,,-4,5.9,3.4,0.7
344 Petroleum gases,2020-09,1952.4389999999999,1650,289.971,,-4,5.9,3.4,0.7
"345 Coal gas, water gas & similar gases",2020-09,,,,,-4,5.9,3.4,0.7
411 Animal oils & fats,2020-09,18556.288999999997,10197.06,6207.3020000000015,264.158,-4,5.9,3.4,0.7
"421 Fixed vegetable oils & fats, soft",2020-09,22909.210999999996,1712.58,25745.141,307.352,-4,5.9,3.4,0.7
"422 Fixed vegetable oils & fats, hard",2020-09,1466.4989999999998,253.605,14490.47,1285.6,-4,5.9,3.4,0.7
"431 Other animal or veg oils, fats & waxes",2020-09,2171.451,28.339,5453.534,1034.55,-4,5.9,3.4,0.7
511 Hydrocarbons & derivatives,2020-09,141.78799999999998,24.915,5090.5689999999995,710.338,-4,5.9,3.4,0.7
"512 Alcohols, phenols & derivatives",2020-09,8357.372,108.394,21441.302000000003,2613.19,-4,5.9,3.4,0.7
513 Carboxylic acids & derivatives,2020-09,1580.657,,23948.493999999995,7986.72,-4,5.9,3.4,0.7
514 Nitrogen-function compounds,2020-09,4149.489999999999,668.463,43822.391,18332.37,-4,5.9,3.4,0.7
515 Organo-inorganic compounds,2020-09,306.353,81.328,68123.40499999998,26319.23,-4,5.9,3.4,0.7
516 Other organic chemicals,2020-09,772.8129999999999,,15493.405999999999,2930.9,-4,5.9,3.4,0.7
522 Inorganic chemical elements,2020-09,34943.447,1036.07,20880.435,7137.29,-4,5.9,3.4,0.7
523 Salts of inorganic acids & metals,2020-09,6058.324,,42801.06099999999,16394.72,-4,5.9,3.4,0.7
524 Other inorganic chemicals,2020-09,663.5770000000002,,4485.545000000001,575.277,-4,5.9,3.4,0.7
525 Radioactive materials,2020-09,1838.648,74.777,1693.347,67.805,-4,5.9,3.4,0.7
531 Synthetic organic colouring,2020-09,1404.721,11.946,4805.715,1250.21,-4,5.9,3.4,0.7
532 Dyeing & tanning extracts,2020-09,598.2040000000001,,2231.7219999999998,121.535,-4,5.9,3.4,0.7
"533 Pigments, paints & varnishes",2020-09,53079.881,8718.36,72914.096,9372.87,-4,5.9,3.4,0.7
541 Pharm products (excl medicaments),2020-09,239459.27499999994,38510.56,431341.358,18086.98,-4,5.9,3.4,0.7
542 Medicaments (incl veterinary),2020-09,191303.482,62005.52,624881.9749999999,7746.11,-4,5.9,3.4,0.7
551 Essential oils & perfumes,2020-09,15806.803000000004,564.294,21639.27799999999,931.798,-4,5.9,3.4,0.7
553 Perfumery & cosmetics (excl soap),2020-09,100820.51099999998,19612.53,222862.50499999995,19838.3,-4,5.9,3.4,0.7
554 Soap & cleansers,2020-09,25893.012,2146.08,103082.70800000001,21933.42,-4,5.9,3.4,0.7
562 Fertilisers (excl crude),2020-09,74510.11700000003,74.097,52536.829999999994,12295.36,-4,5.9,3.4,0.7
571 Primary ethylene polymers,2020-09,599.6060000000001,2.47,36839.856999999996,389.612,-4,5.9,3.4,0.7
572 Primary styrene polymers,2020-09,325.611,15.976,7811.119,39.429,-4,5.9,3.4,0.7
573 Primary vinyl chloride polymers,2020-09,483.165,137.615,21142.702999999994,42.208,-4,5.9,3.4,0.7
574 Primary polyacetals,2020-09,2988.533,73.206,26336.665999999997,614.689,-4,5.9,3.4,0.7
575 Other primary plastics,2020-09,6917.566000000002,659.113,63329.36499999999,12460.64,-4,5.9,3.4,0.7
579 Primary plastic waste & scrap,2020-09,2278.59,74.547,623.682,140.89,-4,5.9,3.4,0.7
"581 Plastic tubes, pipes & hoses",2020-09,13446.614,1229.85,41081.541999999994,14239.54,-4,5.9,3.4,0.7
"582 Plastic plates, sheets & film",2020-09,8645.053999999998,683.163,129109.50900000003,35977.34,-4,5.9,3.4,0.7
583 Plastic monofilament,2020-09,505.958,,8753.407000000001,5779.19,-4,5.9,3.4,0.7
"591 Insecticides, herbicides, disinfectants",2020-09,20231.966000000008,862.538,104809.43399999996,34550,-4,5.9,3.4,0.7
"592 Starches, inulin & wheat gluten",2020-09,51711.026999999995,3556.86,33273.239,5401.75,-4,5.9,3.4,0.7
593 Explosives & pyrotechnics,2020-09,2296.268,83.416,13284.623,2780.26,-4,5.9,3.4,0.7
597 Prepared additives for mineral oils,2020-09,5608.243,853.357,30412.79,1330.27,-4,5.9,3.4,0.7
"598 Miscellaneous chemical products, nes",2020-09,21725.798,460.064,117018.80799999999,10561.94,-4,5.9,3.4,0.7
599 Residual chemical wastes,2020-09,121.023,,62.800999999999995,,-4,5.9,3.4,0.7
611 Leather,2020-09,6216.151,1879.79,3223.3040000000005,13.409,-4,5.9,3.4,0.7
612 Leather manufactures,2020-09,943.2570000000001,,7401.7,3541.13,-4,5.9,3.4,0.7
"613 Furskins, tanned or dressed",2020-09,,,979.051,550.054,-4,5.9,3.4,0.7
621 Materials of rubber,2020-09,3276.9660000000003,352.621,30007.90200000001,3904.84,-4,5.9,3.4,0.7
"625 Rubber tyres, treads & tubes",2020-09,4852.8600000000015,2.472,247641.984,58673.94,-4,5.9,3.4,0.7
"629 Rubber articles, nes",2020-09,9609.487000000001,277.432,58728.53699999999,16680.24,-4,5.9,3.4,0.7
633 Cork manufactures,2020-09,127.383,,3906.538,172.747,-4,5.9,3.4,0.7
"634 Veneers, plywood & particle board",2020-09,3933.9820000000004,1606.59,54061.242000000006,24085.47,-4,5.9,3.4,0.7
"635 Wood manufactures, nes",2020-09,3603.4309999999996,497.527,61737.849,28917,-4,5.9,3.4,0.7
641 Paper & paperboard,2020-09,46726.236999999994,8268.6,108144.75200000001,24640.16,-4,5.9,3.4,0.7
"642 Paper & paperboard, cut to size",2020-09,9315.383000000002,83.485,131962.82900000003,75069.27,-4,5.9,3.4,0.7
651 Textile yarn,2020-09,322.699,5.379,27529.705,7964.8,-4,5.9,3.4,0.7
"652 Cotton fabrics, woven",2020-09,516.497,3.659,9431.778000000004,4233.02,-4,5.9,3.4,0.7
"653 Man-made fabrics, woven",2020-09,2687.917,30.654,15470.382999999998,6321.9,-4,5.9,3.4,0.7
"654 Other textile fabrics, woven",2020-09,572.385,,5164.0509999999995,1807.81,-4,5.9,3.4,0.7
655 Knitted or crocheted fabrics,2020-09,1078.3960000000002,17.977,11935.397,4835.33,-4,5.9,3.4,0.7
"656 Tulles, lace & ribbons",2020-09,128.55100000000002,1.401,4118.29,2319.76,-4,5.9,3.4,0.7
657 Special yarns & fabrics,2020-09,7988.567999999998,1441.87,54482.342,24439.15,-4,5.9,3.4,0.7
"658 Made-up textile articles, nes",2020-09,4579.181999999998,141.572,309928.274,242217.93,-4,5.9,3.4,0.7
659 Floor coverings,2020-09,2593.3879999999995,60.7,47476.66399999999,12696.08,-4,5.9,3.4,0.7
"661 Lime, cement & construction materials",2020-09,3330.833000000001,113.159,57253.73500000001,13760.98,-4,5.9,3.4,0.7
662 Clay construction materials,2020-09,3206.346,,44054.47,21938.75,-4,5.9,3.4,0.7
"663 Mineral manufactures, nes",2020-09,6913.416999999998,86.376,65776.789,29424.63,-4,5.9,3.4,0.7
664 Glass,2020-09,3621.8410000000003,8.466,45171.054,27313.26,-4,5.9,3.4,0.7
665 Glassware,2020-09,1991.053,187.699,43853.695999999996,18574.41,-4,5.9,3.4,0.7
666 Pottery,2020-09,1189.184,4.56,21717.565,17633.99,-4,5.9,3.4,0.7
667 Pearls & gems,2020-09,49691.643000000004,53.169,60816.89299999999,677.926,-4,5.9,3.4,0.7
671 Pig-iron,2020-09,44.265,6.014,6423.481,615.868,-4,5.9,3.4,0.7
672 Iron or steel ingots,2020-09,770.0279999999999,8.75,127.09800000000001,,-4,5.9,3.4,0.7
673 Uncoated flat-rolled iron & steel,2020-09,41875.237,15451.17,10843.432,152.716,-4,5.9,3.4,0.7
674 Coated flat-rolled iron & steel,2020-09,10020.713999999998,11.96,39987.193,2118.64,-4,5.9,3.4,0.7
675 Flat-rolled alloy steel,2020-09,1831.9720000000002,93.565,20158.85,5578.16,-4,5.9,3.4,0.7
676 Iron & steel bars & rods,2020-09,9684.582,0.734,39537.992000000006,6394.24,-4,5.9,3.4,0.7
677 Rails of iron or steel,2020-09,2771.966,13.431,31238.198999999997,10080.52,-4,5.9,3.4,0.7
678 Wire of iron or steel,2020-09,1218.298,,14941.162999999997,4685.03,-4,5.9,3.4,0.7
679 Tubes & pipes of iron or steel,2020-09,6801.933000000001,347.634,96434.75099999999,29125.39,-4,5.9,3.4,0.7
681 Silver & platinum,2020-09,12763.628999999999,,179146.03900000005,416.282,-4,5.9,3.4,0.7
682 Copper,2020-09,333405.55799999996,204740.54,60054.448,21380.41,-4,5.9,3.4,0.7
683 Nickel,2020-09,1272.4430000000002,9.263,6559.714000000003,110.805,-4,5.9,3.4,0.7
684 Aluminium,2020-09,268980.979,13239.94,102906.399,44492.84,-4,5.9,3.4,0.7
685 Lead,2020-09,96526.27300000002,136.091,68.454,,-4,5.9,3.4,0.7
686 Zinc,2020-09,106474.685,29841.26,6932.322000000001,43.27,-4,5.9,3.4,0.7
687 Tin,2020-09,0.268,,754.927,2.647,-4,5.9,3.4,0.7
689 Other non-ferrous metals,2020-09,3705.325,461.368,863.957,461.68,-4,5.9,3.4,0.7
"691 Iron, steel, aluminium structures",2020-09,8876.850000000002,271.629,150788.374,111937.31,-4,5.9,3.4,0.7
692 Metal containers,2020-09,4978.449000000001,0.2,20137.125,8344.5,-4,5.9,3.4,0.7
693 Wire products,2020-09,2441.307,31.166,28169.676000000003,13772.03,-4,5.9,3.4,0.7
"694 Nails, screws, nuts, bolts & rivets",2020-09,13992.332,1013.18,62485.70399999999,27919.01,-4,5.9,3.4,0.7
695 Hand or machine tools,2020-09,11049.485000000002,260.682,89504.98599999999,33011.3,-4,5.9,3.4,0.7
696 Cutlery,2020-09,2679.337,50.303,22373.327,12790.49,-4,5.9,3.4,0.7
"697 Household equip of base metal, nes",2020-09,2014.6150000000002,38.316,102853.249,71507.25,-4,5.9,3.4,0.7
"699 Manufactures of base metal, nes",2020-09,42900.555,2752.16,244122.15299999996,132974.28,-4,5.9,3.4,0.7
711 Steam boilers & parts,2020-09,221.228,,1528.8950000000002,937.494,-4,5.9,3.4,0.7
712 Steam & other vapour turbines,2020-09,241.725,4.772,13151.904,4.616,-4,5.9,3.4,0.7
713 Internal combustion piston engines,2020-09,33140.82899999999,407.478,128891.36399999999,8485.72,-4,5.9,3.4,0.7
714 Non-electric engines & motors,2020-09,8092.58,,70352.594,689.353,-4,5.9,3.4,0.7
716 Rotating electric plant & parts,2020-09,8928.699,224.993,121070.568,25296.27,-4,5.9,3.4,0.7
718 Power generating machinery & parts,2020-09,8085.731000000001,416.732,38279.756,4983.77,-4,5.9,3.4,0.7
721 Agric machinery (excl tractors) & parts,2020-09,6492.009999999999,497.028,234005.5300000001,20644.54,-4,5.9,3.4,0.7
722 Tractors,2020-09,1803.2060000000001,,89933.101,2283.97,-4,5.9,3.4,0.7
723 Civil engineering equipment & parts,2020-09,46103.24099999999,3395.67,379449.105,48386.53,-4,5.9,3.4,0.7
724 Textile & leather machinery & parts,2020-09,1824.728,73.938,17348.376000000007,2908.75,-4,5.9,3.4,0.7
725 Paper & pulp mill machinery & parts,2020-09,962.9490000000001,164.364,8330.276,3239.69,-4,5.9,3.4,0.7
726 Printing machinery & parts,2020-09,3052.3759999999993,777.071,11437.046,925.368,-4,5.9,3.4,0.7
727 Food processing machines & parts,2020-09,8428.869000000004,287.806,27398.532999999996,3901.45,-4,5.9,3.4,0.7
728 Specialised machinery & parts,2020-09,58583.662000000004,8026.67,214010.80300000004,46025.39,-4,5.9,3.4,0.7
731 Machine tools for removing metal,2020-09,3271.8399999999997,1631.4,26824.901,7508.36,-4,5.9,3.4,0.7
733 Machine tools for working metal,2020-09,1564.287,,13895.073999999999,2800.71,-4,5.9,3.4,0.7
735 Machine tools parts,2020-09,1084.1460000000002,6.614,8261.356999999998,971.172,-4,5.9,3.4,0.7
737 Metalworking machinery & parts,2020-09,5259.2029999999995,6.014,21256.6,9916.94,-4,5.9,3.4,0.7
741 Heating & cooling equipment & parts,2020-09,17007.687000000005,496.156,251790.33399999997,78991.25,-4,5.9,3.4,0.7
742 Pumps for liquids & parts,2020-09,25479.147,5292.02,103138.798,17213.01,-4,5.9,3.4,0.7
743 Pumps (excl liquid pumps) & parts,2020-09,29022.40999999999,4823.36,235310.50800000006,60817.89,-4,5.9,3.4,0.7
744 Mechanical handling equip & parts,2020-09,18388.067000000003,224.154,243460.15999999997,84172.67,-4,5.9,3.4,0.7
745 Non-electrical machinery & parts,2020-09,14997.433,220.891,140162.331,42480.83,-4,5.9,3.4,0.7
746 Ball or roller bearings,2020-09,2696.729999999999,58.242,25169.019,2124.21,-4,5.9,3.4,0.7
"747 Taps, cocks & valves",2020-09,23575.679999999993,1050.46,160448.454,55477.64,-4,5.9,3.4,0.7
748 Transmission shafts & parts,2020-09,13336.152999999998,129.632,86039.99300000002,11104,-4,5.9,3.4,0.7
749 Non-electric parts for machinery,2020-09,7362.071999999998,43.838,27003.766999999996,4657.53,-4,5.9,3.4,0.7
751 Office machines,2020-09,9363.355000000001,23.143,109130.16700000003,48354.44,-4,5.9,3.4,0.7
752 Computers,2020-09,81159.37499999996,6023.57,771930.0839999998,554957.07,-4,5.9,3.4,0.7
759 Computer parts & accessories,2020-09,21071.382000000005,2937.37,58388.308,40254.03,-4,5.9,3.4,0.7
"761 Monitors, projectors & TVs",2020-09,4862.107000000001,209.069,218340.93200000003,121705.53,-4,5.9,3.4,0.7
762 Radio broadcast receivers,2020-09,912.7249999999999,64.4,8674.792000000001,5144.24,-4,5.9,3.4,0.7
763 Sound & video recorders,2020-09,1735.0510000000002,2.85,11343.926000000001,7647.14,-4,5.9,3.4,0.7
764 Telecom equipment & parts,2020-09,123723.50899999999,3551.59,1053862.4589999998,535734.79,-4,5.9,3.4,0.7
771 Electric power machinery & parts,2020-09,17039.209,177.856,172033.065,75875.07,-4,5.9,3.4,0.7
772 Electrical circuits equipment,2020-09,46797.91799999998,2675.84,188414.929,53511.26,-4,5.9,3.4,0.7
773 Electrical distributing equipment,2020-09,16810.501,352.418,135654.274,67449.95,-4,5.9,3.4,0.7
774 Medical electrodiagnostic apparatus,2020-09,9664.065000000004,139.646,95949.82099999998,11818.86,-4,5.9,3.4,0.7
"775 Household-type equipment, nes",2020-09,12433.038999999997,875.753,402895.178,191253.22,-4,5.9,3.4,0.7
776 Electronic integrated circuits,2020-09,23211.873000000003,2679.12,168527.953,114329.88,-4,5.9,3.4,0.7
"778 Electrical machinery & parts, nes",2020-09,41241.368999999984,628.057,346183.74399999995,157508.54,-4,5.9,3.4,0.7
781 Passenger motor vehicles,2020-09,13119.161999999998,602.047,1647759.784,51083.81,-4,5.9,3.4,0.7
782 Goods vehicles,2020-09,23251.112999999994,,848229.2769999999,27225.27,-4,5.9,3.4,0.7
"783 Road motor vehicles, nes",2020-09,1943.72,,39401.959,1028.32,-4,5.9,3.4,0.7
784 Vehicle parts & accessories,2020-09,70055.91699999997,2053.12,261433.34999999998,55038.11,-4,5.9,3.4,0.7
785 Motorcycles & cycles,2020-09,4237.199999999999,182.937,132214.41199999998,34049.41,-4,5.9,3.4,0.7
"786 Trailers, semi-trailers & containers",2020-09,3695.994000000001,114.801,80584.39600000002,53376.59,-4,5.9,3.4,0.7
791 Railway vehicles (incl hovertrains),2020-09,5454.205,738.834,98450.498,61904.15,-4,5.9,3.4,0.7
"792 Aircraft, spacecraft & parts",2020-09,160466.98199999996,657.213,115363.63599999997,5975.37,-4,5.9,3.4,0.7
"793 Ships, boats & floating structures",2020-09,31837.261000000006,690.237,32397.157,4601.03,-4,5.9,3.4,0.7
811 Prefabricated buildings,2020-09,1899.972,247.159,8858.043,4305.29,-4,5.9,3.4,0.7
"812 Sanitary, plumbing & heating fittings",2020-09,503.96799999999996,,20418.331,12154.52,-4,5.9,3.4,0.7
