Category,Date,Total Export Value,China Export Value,Total Import Value,China Import Value,Exports of goods and services: Percentage changes ;.1,Imports of goods and services: Percentage changes ;.1,GROSS DOMESTIC PRODUCT: Percentage changes ;.1,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Australia ;
671 Pig-iron,2018-09,464.095,233.31,11021.034,950.517,1.3,-1.3,0.4,1.9
672 Iron or steel ingots,2018-09,545.31,,27.649,6.479,1.3,-1.3,0.4,1.9
673 Uncoated flat-rolled iron & steel,2018-09,17865.811,,16760.284000000007,573.246,1.3,-1.3,0.4,1.9
674 Coated flat-rolled iron & steel,2018-09,14988.728999999998,107.096,41614.445999999996,3784.651,1.3,-1.3,0.4,1.9
675 Flat-rolled alloy steel,2018-09,5826.512000000001,197.787,28677.403999999995,4747.624,1.3,-1.3,0.4,1.9
676 Iron & steel bars & rods,2018-09,10296.413,7.706,51295.718,7804.637,1.3,-1.3,0.4,1.9
677 Rails of iron or steel,2018-09,4204.681,134.304,1234.352,362.931,1.3,-1.3,0.4,1.9
678 Wire of iron or steel,2018-09,1697.5029999999997,,15547.108,4211.62,1.3,-1.3,0.4,1.9
679 Tubes & pipes of iron or steel,2018-09,8887.121000000003,263.586,126005.64999999997,42002.824,1.3,-1.3,0.4,1.9
681 Silver & platinum,2018-09,14097.746999999998,,13349.354,4.604,1.3,-1.3,0.4,1.9
682 Copper,2018-09,183656.03599999996,108985.086,84980.76999999999,16880.695,1.3,-1.3,0.4,1.9
683 Nickel,2018-09,169527.26799999998,483.213,6645.1089999999995,186.253,1.3,-1.3,0.4,1.9
684 Aluminium,2018-09,324196.54099999997,358.83,114606.429,53967.686,1.3,-1.3,0.4,1.9
685 Lead,2018-09,82410.861,3382.066,259.521,,1.3,-1.3,0.4,1.9
686 Zinc,2018-09,127000.37700000001,46274.939,6050.325,126.418,1.3,-1.3,0.4,1.9
687 Tin,2018-09,484.01,,552.938,519.355,1.3,-1.3,0.4,1.9
689 Other non-ferrous metals,2018-09,9328.598,,6564.258,1301.3,1.3,-1.3,0.4,1.9
"691 Iron, steel, aluminium structures",2018-09,11628.371999999998,89.956,175798.34499999997,120138.727,1.3,-1.3,0.4,1.9
692 Metal containers,2018-09,11874.756000000001,0.33,25044.302000000003,8892.833,1.3,-1.3,0.4,1.9
693 Wire products,2018-09,5573.555,1143.184,25821.225000000002,10163.434,1.3,-1.3,0.4,1.9
"694 Nails, screws, nuts, bolts & rivets",2018-09,20134.120000000006,541.169,76785.64299999998,32082.164,1.3,-1.3,0.4,1.9
695 Hand or machine tools,2018-09,16722.331999999995,518.023,76416.13700000002,25195.039,1.3,-1.3,0.4,1.9
696 Cutlery,2018-09,1781.2769999999998,37.523,20004.588000000003,11164.047,1.3,-1.3,0.4,1.9
"697 Household equip of base metal, nes",2018-09,2152.8379999999997,33.501,87749.767,66557.352,1.3,-1.3,0.4,1.9
"699 Manufactures of base metal, nes",2018-09,43053.871,2330.241,243211.17299999992,132687.774,1.3,-1.3,0.4,1.9
711 Steam boilers & parts,2018-09,2884.571,,2689.728,898.57,1.3,-1.3,0.4,1.9
712 Steam & other vapour turbines,2018-09,10.05,,11458.976,43.294,1.3,-1.3,0.4,1.9
713 Internal combustion piston engines,2018-09,29682.484,296.247,103436.93400000001,8019.221,1.3,-1.3,0.4,1.9
